date,id,lat,lon,country
2020-03-28,32002,47.45238942,19.56725121,hu
2020-03-28,15878,46.076,18.222,hu
2020-03-28,1759,46.266,20.062,hu
2020-03-28,19266,47.51072969,19.05029088,hu
2020-03-28,24040,47.612,18.906,hu
2020-03-28,25315,47.52594775,19.11644036,hu
2020-03-28,25459,47.4924964,19.01965315,hu
2020-03-28,25801,47.53029995,19.0162889,hu
2020-03-28,26506,46.90439892,19.66840267,hu
2020-03-28,26558,47.6,20.754,hu
2020-03-28,26578,47.674,19.32,hu
2020-03-28,26584,47.522,19.096,hu
2020-03-28,27003,47.59,19.022,hu
2020-03-28,28621,46.91733138,19.66628641,hu
2020-03-28,28623,46.932,19.658,hu
2020-03-28,28627,46.76,19.604,hu
2020-03-28,32365,46.832,16.838,hu
2020-03-28,32940,47.496,19.078,hu
2020-03-28,33200,47.92864374,21.03773206,hu
2020-03-28,33760,47.912,19.044,hu
2020-03-28,35233,47.82919681,19.02472337,hu
2020-03-28,35235,47.53136818,19.06917304,hu
2020-03-28,35626,46.57836592,18.39092553,hu
2020-03-28,38190,47.51,19.124,hu
2020-03-28,38375,47.414,18.954,hu
2020-03-28,38379,47.42,18.88,hu
2020-03-28,38449,47.94419103,19.03220147,hu
2020-03-28,38459,47.728,18.598,hu
2020-03-28,39094,47.508,19.376,hu
2020-03-28,39234,47.942924,19.04138,hu
2020-03-28,39308,47.51,19.122,hu
2020-03-28,39406,47.82852762,19.03629988,hu
2020-03-28,39476,47.838,18.992,hu
2020-03-28,39532,47.8348081,19.04164553,hu
2020-03-28,39702,47.82626228,19.02933151,hu
2020-03-28,39718,47.83076188,19.0316323,hu
2020-03-28,39902,47.83,19.03,hu
2020-03-28,40056,47.868,18.998,hu
2020-03-28,40076,47.824,18.982,hu
2020-03-28,40144,47.8270629,19.04361973,hu
2020-03-28,40162,47.462,19.304,hu
2020-03-28,40310,47.92,19.262,hu
2020-03-28,40535,47.866,19,hu
2020-03-28,40703,47.51,19.05,hu
2020-03-28,40757,47.384,19.218,hu
2020-03-28,40789,47.69059969,17.66448287,hu
2020-03-28,40863,47.524,19.012,hu
2020-03-28,40889,47.54967411,19.118523,hu
2020-03-28,40907,47.538,19.042,hu
2020-03-28,40929,47.962,21.652,hu
2020-03-28,40971,47.408,19.174,hu
2020-03-28,41065,47.53619244,19.06248361,hu
2020-03-28,41083,47.82550234,19.05795336,hu
2020-03-28,41183,47.956,21.78,hu
2020-03-28,41319,47.32196,18.78019,hu
2020-03-28,41572,47.87,19.006,hu
2020-03-28,41741,47.318,21.124,hu
2020-03-28,41958,47.821526,19.03800845,hu
2020-03-28,42080,47.96,21.712,hu
2020-03-28,42284,47.51,18.966,hu
2020-03-28,42290,47.5063417,19.070512,hu
2020-03-28,42292,47.52816988,19.00094032,hu
2020-03-28,42294,47.556,18.718,hu
2020-03-28,42296,47.456,19.016,hu
2020-03-28,42414,46.344,17.786,hu
2020-03-28,42418,47.49261185,19.03464505,hu
2020-03-28,42422,47.5278106,18.9860475,hu
2020-03-28,42424,47.51067622,19.19980712,hu
2020-03-28,42426,47.456,19.032,hu
2020-03-28,42428,47.60715621,18.99101347,hu
2020-03-28,42432,48.232,20.668,hu
2020-03-28,42434,47.456,19.032,hu
2020-03-28,42436,47.4733242,19.03760344,hu
2020-03-28,42442,47.5921594,18.93600941,hu
2020-03-28,42444,47.4826092,18.99622968,hu
2020-03-28,42484,47.97054892,21.69329077,hu
2020-03-28,42518,47.52,18.92,hu
2020-03-28,42520,48.2145959,20.7141403,hu
2020-03-28,42558,47.825726,19.041638,hu
2020-03-28,43022,47.958,21.73,hu
2020-03-28,43062,47.928,21.746,hu
2020-03-28,43066,47.946,21.776,hu
2020-03-28,43355,47.508,19.004,hu
2020-03-28,43489,47.78582398,18.73918355,hu
2020-03-28,43696,47.62,19.56,hu
2020-03-28,43815,47.1914378,20.1842628,hu
2020-03-28,43817,48.01,21.748,hu
2020-03-28,44008,47.974,21.726,hu
2020-03-28,7699,47.794,19.126,hu
2020-03-28,41245,47.51,19.05,hu
2020-03-28,41655,47.55120927,17.75281727,hu
2020-04-28,25876,47.48,19.216,hu
2020-04-28,32002,47.45238942,19.56725121,hu
2020-04-28,15878,46.076,18.222,hu
2020-04-28,1759,46.266,20.062,hu
2020-04-28,19266,47.51072969,19.05029088,hu
2020-04-28,24040,47.612,18.906,hu
2020-04-28,25315,47.52594775,19.11644036,hu
2020-04-28,25801,47.53029995,19.0162889,hu
2020-04-28,26506,46.90439892,19.66840267,hu
2020-04-28,26558,47.6,20.754,hu
2020-04-28,26578,47.674,19.32,hu
2020-04-28,26584,47.522,19.096,hu
2020-04-28,27003,47.59,19.022,hu
2020-04-28,28621,46.91733138,19.66628641,hu
2020-04-28,28623,46.932,19.658,hu
2020-04-28,28627,46.76,19.604,hu
2020-04-28,31792,47.51038909,19.17682886,hu
2020-04-28,32365,46.832,16.838,hu
2020-04-28,32940,47.496,19.078,hu
2020-04-28,33200,47.92864374,21.03773206,hu
2020-04-28,33760,47.912,19.044,hu
2020-04-28,35233,47.82919681,19.02472337,hu
2020-04-28,35235,47.53136818,19.06917304,hu
2020-04-28,35626,46.57836592,18.39092553,hu
2020-04-28,38190,47.51,19.124,hu
2020-04-28,38375,47.414,18.954,hu
2020-04-28,38379,47.42,18.88,hu
2020-04-28,38449,47.94419103,19.03220147,hu
2020-04-28,38459,47.728,18.598,hu
2020-04-28,39094,47.508,19.376,hu
2020-04-28,39234,47.942924,19.04138,hu
2020-04-28,39308,47.51,19.122,hu
2020-04-28,39406,47.82852762,19.03629988,hu
2020-04-28,39532,47.8348081,19.04164553,hu
2020-04-28,39702,47.82626228,19.02933151,hu
2020-04-28,39718,47.83076188,19.0316323,hu
2020-04-28,39902,47.83,19.03,hu
2020-04-28,39968,47.808,19.004,hu
2020-04-28,40076,47.824,18.982,hu
2020-04-28,40144,47.8270629,19.04361973,hu
2020-04-28,40310,47.92,19.262,hu
2020-04-28,40535,47.866,19,hu
2020-04-28,40703,47.51,19.05,hu
2020-04-28,40757,47.384,19.218,hu
2020-04-28,40789,47.69059969,17.66448287,hu
2020-04-28,40863,47.524,19.012,hu
2020-04-28,40889,47.54967411,19.118523,hu
2020-04-28,40907,47.538,19.042,hu
2020-04-28,40929,47.962,21.652,hu
2020-04-28,40971,47.408,19.174,hu
2020-04-28,41065,47.53619244,19.06248361,hu
2020-04-28,41183,47.956,21.78,hu
2020-04-28,41319,47.32196,18.78019,hu
2020-04-28,41572,47.87,19.006,hu
2020-04-28,41741,47.318,21.124,hu
2020-04-28,41799,47.46,19.034,hu
2020-04-28,41958,47.821526,19.03800845,hu
2020-04-28,42080,47.96,21.712,hu
2020-04-28,42284,47.51,18.966,hu
2020-04-28,42292,47.52816988,19.00094032,hu
2020-04-28,42294,47.556,18.718,hu
2020-04-28,42296,47.456,19.016,hu
2020-04-28,42414,46.344,17.786,hu
2020-04-28,42418,47.49261185,19.03464505,hu
2020-04-28,42422,47.5278106,18.9860475,hu
2020-04-28,42424,47.51067622,19.19980712,hu
2020-04-28,42428,47.60715621,18.99101347,hu
2020-04-28,42430,47.462,19.036,hu
2020-04-28,42432,48.232,20.668,hu
2020-04-28,42434,47.456,19.032,hu
2020-04-28,42436,47.4733242,19.03760344,hu
2020-04-28,42442,47.5921594,18.93600941,hu
2020-04-28,42444,47.4826092,18.99622968,hu
2020-04-28,42484,47.97054892,21.69329077,hu
2020-04-28,42518,47.52,18.92,hu
2020-04-28,42520,48.2145959,20.7141403,hu
2020-04-28,42558,47.825726,19.041638,hu
2020-04-28,42862,47.51322978,19.07587856,hu
2020-04-28,43022,47.958,21.73,hu
2020-04-28,43060,47.914,21.766,hu
2020-04-28,43062,47.928,21.746,hu
2020-04-28,43066,47.946,21.776,hu
2020-04-28,43355,47.508,19.004,hu
2020-04-28,43489,47.78582398,18.73918355,hu
2020-04-28,43560,46.41,17.394,hu
2020-04-28,43696,47.62,19.56,hu
2020-04-28,43815,47.1914378,20.1842628,hu
2020-04-28,43817,47.36,18.984,hu
2020-04-28,44008,47.974,21.726,hu
2020-04-28,44212,46.356,17.798,hu
2020-04-28,44214,47.45,19.124,hu
2020-04-28,44672,47.434,19.14,hu
2020-04-28,44696,47.562,19.094,hu
2020-04-28,44730,47.448,19.032,hu
2020-04-28,44760,48.12422093,21.47247791,hu
2020-04-28,44794,48.17879979,20.65497011,hu
2020-04-28,45198,46.422,18.772,hu
2020-04-28,7699,47.794,19.126,hu
2020-04-28,41245,47.51,19.05,hu
2020-04-28,41655,47.55120927,17.75281727,hu
2020-05-28,25876,47.48,19.216,hu
2020-05-28,32002,47.45238942,19.56725121,hu
2020-05-28,15878,46.076,18.222,hu
2020-05-28,24040,47.612,18.906,hu
2020-05-28,25315,47.52594775,19.11644036,hu
2020-05-28,25459,47.4924964,19.01965315,hu
2020-05-28,25801,47.53029995,19.0162889,hu
2020-05-28,26506,46.90439892,19.66840267,hu
2020-05-28,26584,47.522,19.096,hu
2020-05-28,27003,47.59,19.022,hu
2020-05-28,28621,46.91733138,19.66628641,hu
2020-05-28,28623,46.932,19.658,hu
2020-05-28,28627,46.76,19.604,hu
2020-05-28,31792,47.51038909,19.17682886,hu
2020-05-28,32365,46.832,16.838,hu
2020-05-28,32940,47.496,19.078,hu
2020-05-28,33200,47.92864374,21.03773206,hu
2020-05-28,33760,47.912,19.044,hu
2020-05-28,35233,47.82919681,19.02472337,hu
2020-05-28,35235,47.53136818,19.06917304,hu
2020-05-28,35626,46.57836592,18.39092553,hu
2020-05-28,38190,47.51,19.124,hu
2020-05-28,38375,47.414,18.954,hu
2020-05-28,38379,47.42,18.88,hu
2020-05-28,38449,47.94419103,19.03220147,hu
2020-05-28,38459,47.728,18.598,hu
2020-05-28,39094,47.508,19.376,hu
2020-05-28,39234,47.942924,19.04138,hu
2020-05-28,39308,47.51,19.122,hu
2020-05-28,39406,47.82852762,19.03629988,hu
2020-05-28,39476,47.838,18.992,hu
2020-05-28,39532,47.8348081,19.04164553,hu
2020-05-28,39542,47.878,18.988,hu
2020-05-28,39702,47.82626228,19.02933151,hu
2020-05-28,39718,47.83076188,19.0316323,hu
2020-05-28,39902,47.83,19.03,hu
2020-05-28,39968,47.808,19.004,hu
2020-05-28,40056,47.868,18.998,hu
2020-05-28,40076,47.824,18.982,hu
2020-05-28,40162,47.462,19.304,hu
2020-05-28,40310,47.92,19.262,hu
2020-05-28,40535,47.866,19,hu
2020-05-28,40703,47.51,19.05,hu
2020-05-28,40757,47.384,19.218,hu
2020-05-28,40789,47.69059969,17.66448287,hu
2020-05-28,40863,47.524,19.012,hu
2020-05-28,40889,47.54967411,19.118523,hu
2020-05-28,40907,47.538,19.042,hu
2020-05-28,40929,47.962,21.652,hu
2020-05-28,40971,47.408,19.174,hu
2020-05-28,41065,47.53619244,19.06248361,hu
2020-05-28,41183,47.956,21.78,hu
2020-05-28,41319,47.32196,18.78019,hu
2020-05-28,41572,47.87,19.006,hu
2020-05-28,41741,47.318,21.124,hu
2020-05-28,41799,47.46,19.034,hu
2020-05-28,41958,47.821526,19.03800845,hu
2020-05-28,42080,47.96,21.712,hu
2020-05-28,42284,47.51,18.966,hu
2020-05-28,42288,47.52,19.016,hu
2020-05-28,42292,47.52816988,19.00094032,hu
2020-05-28,42294,47.556,18.718,hu
2020-05-28,42296,47.456,19.016,hu
2020-05-28,42414,46.344,17.786,hu
2020-05-28,42418,47.49261185,19.03464505,hu
2020-05-28,42422,47.5278106,18.9860475,hu
2020-05-28,42424,47.51067622,19.19980712,hu
2020-05-28,42428,47.60715621,18.99101347,hu
2020-05-28,42430,47.462,19.036,hu
2020-05-28,42432,48.232,20.668,hu
2020-05-28,42434,47.456,19.032,hu
2020-05-28,42436,47.4733242,19.03760344,hu
2020-05-28,42442,47.5921594,18.93600941,hu
2020-05-28,42444,47.4826092,18.99622968,hu
2020-05-28,42484,47.97054892,21.69329077,hu
2020-05-28,42518,47.52,18.92,hu
2020-05-28,42520,48.2145959,20.7141403,hu
2020-05-28,42558,47.825726,19.041638,hu
2020-05-28,42760,47.638,19.026,hu
2020-05-28,42862,47.51322978,19.07587856,hu
2020-05-28,42880,47.484,19.034,hu
2020-05-28,43022,47.958,21.73,hu
2020-05-28,43062,47.928,21.746,hu
2020-05-28,43066,47.946,21.776,hu
2020-05-28,43068,47.482,19.07,hu
2020-05-28,43355,47.508,19.004,hu
2020-05-28,43489,47.78582398,18.73918355,hu
2020-05-28,43560,46.41,17.394,hu
2020-05-28,43696,47.62,19.56,hu
2020-05-28,43815,47.1914378,20.1842628,hu
2020-05-28,43817,47.36,18.984,hu
2020-05-28,44212,46.356,17.798,hu
2020-05-28,44214,47.45,19.124,hu
2020-05-28,44672,47.434,19.14,hu
2020-05-28,44696,47.562,19.094,hu
2020-05-28,44730,47.448,19.032,hu
2020-05-28,44794,48.17879979,20.65497011,hu
2020-05-28,45198,46.422,18.772,hu
2020-05-28,45618,47.52,19.144,hu
2020-05-28,45688,48.132,20.872,hu
2020-05-28,45726,47.49,19.07,hu
2020-05-28,45853,47.4731394,19.0462806,hu
2020-05-28,45889,48.126,20.858,hu
2020-05-28,45926,47.614,19.684,hu
2020-05-28,45932,46.79,17.184,hu
2020-05-28,45978,47.496,19.078,hu
2020-05-28,46016,47.578984,19.05697,hu
2020-05-28,46048,47.472,19.222,hu
2020-05-28,46236,47.534052,19.14105356,hu
2020-05-28,46347,47.83,19.046,hu
2020-05-28,46359,47.646,19.13,hu
2020-05-28,7699,47.794,19.126,hu
2020-05-28,41245,47.51,19.05,hu
2020-05-28,41655,47.55120927,17.75281727,hu
2020-06-28,25876,47.48,19.216,hu
2020-06-28,32002,47.45238942,19.56725121,hu
2020-06-28,1759,46.266,20.062,hu
2020-06-28,19266,47.51072969,19.05029088,hu
2020-06-28,24040,47.612,18.906,hu
2020-06-28,25315,47.52594775,19.11644036,hu
2020-06-28,25459,47.4924964,19.01965315,hu
2020-06-28,25801,47.53029995,19.0162889,hu
2020-06-28,26506,46.90439892,19.66840267,hu
2020-06-28,26578,47.674,19.32,hu
2020-06-28,26584,47.522,19.096,hu
2020-06-28,27003,47.59,19.022,hu
2020-06-28,28621,46.91733138,19.66628641,hu
2020-06-28,28623,46.932,19.658,hu
2020-06-28,28627,46.76,19.604,hu
2020-06-28,31792,47.51038909,19.17682886,hu
2020-06-28,32365,46.832,16.838,hu
2020-06-28,32940,47.496,19.078,hu
2020-06-28,33200,47.92864374,21.03773206,hu
2020-06-28,33760,47.912,19.044,hu
2020-06-28,35233,47.82919681,19.02472337,hu
2020-06-28,35235,47.53136818,19.06917304,hu
2020-06-28,35324,47.51,19.036,hu
2020-06-28,35626,46.57836592,18.39092553,hu
2020-06-28,38190,47.51,19.124,hu
2020-06-28,38375,47.414,18.954,hu
2020-06-28,38379,47.42,18.88,hu
2020-06-28,38449,47.94419103,19.03220147,hu
2020-06-28,38459,47.728,18.598,hu
2020-06-28,39094,47.508,19.376,hu
2020-06-28,39308,47.51,19.122,hu
2020-06-28,39406,47.82852762,19.03629988,hu
2020-06-28,39476,47.838,18.992,hu
2020-06-28,39532,47.8348081,19.04164553,hu
2020-06-28,39702,47.82626228,19.02933151,hu
2020-06-28,39718,47.83076188,19.0316323,hu
2020-06-28,39902,47.83,19.03,hu
2020-06-28,39968,47.808,19.004,hu
2020-06-28,40056,47.868,18.998,hu
2020-06-28,40076,47.824,18.982,hu
2020-06-28,40144,47.8270629,19.04361973,hu
2020-06-28,40162,47.462,19.304,hu
2020-06-28,40310,47.92,19.262,hu
2020-06-28,40535,47.866,19,hu
2020-06-28,40703,47.51,19.05,hu
2020-06-28,40757,47.384,19.218,hu
2020-06-28,40789,47.69059969,17.66448287,hu
2020-06-28,40889,47.54967411,19.118523,hu
2020-06-28,40907,47.538,19.042,hu
2020-06-28,40929,47.962,21.652,hu
2020-06-28,40971,47.408,19.174,hu
2020-06-28,41065,47.53619244,19.06248361,hu
2020-06-28,41183,47.956,21.78,hu
2020-06-28,41319,47.32196,18.78019,hu
2020-06-28,41572,47.87,19.006,hu
2020-06-28,41741,47.318,21.124,hu
2020-06-28,41799,47.46,19.034,hu
2020-06-28,42080,47.96,21.712,hu
2020-06-28,42284,47.51,18.966,hu
2020-06-28,42288,47.52,19.016,hu
2020-06-28,42292,47.52816988,19.00094032,hu
2020-06-28,42294,47.556,18.718,hu
2020-06-28,42296,47.456,19.016,hu
2020-06-28,42414,46.344,17.786,hu
2020-06-28,42418,47.49261185,19.03464505,hu
2020-06-28,42422,47.5278106,18.9860475,hu
2020-06-28,42424,47.51067622,19.19980712,hu
2020-06-28,42428,47.60715621,18.99101347,hu
2020-06-28,42430,47.462,19.036,hu
2020-06-28,42432,48.232,20.668,hu
2020-06-28,42434,47.456,19.032,hu
2020-06-28,42436,47.4733242,19.03760344,hu
2020-06-28,42442,47.5921594,18.93600941,hu
2020-06-28,42444,47.4826092,18.99622968,hu
2020-06-28,42484,47.97054892,21.69329077,hu
2020-06-28,42518,47.52,18.92,hu
2020-06-28,42520,48.2145959,20.7141403,hu
2020-06-28,42558,47.825726,19.041638,hu
2020-06-28,42760,47.638,19.026,hu
2020-06-28,42862,47.51322978,19.07587856,hu
2020-06-28,43022,47.958,21.73,hu
2020-06-28,43066,47.946,21.776,hu
2020-06-28,43489,47.78582398,18.73918355,hu
2020-06-28,43560,46.41,17.394,hu
2020-06-28,43696,47.62,19.56,hu
2020-06-28,43815,47.1914378,20.1842628,hu
2020-06-28,43817,47.36,18.984,hu
2020-06-28,44008,47.974,21.726,hu
2020-06-28,44212,46.356,17.798,hu
2020-06-28,44214,47.45,19.124,hu
2020-06-28,44672,47.434,19.14,hu
2020-06-28,44696,47.562,19.094,hu
2020-06-28,44730,47.448,19.032,hu
2020-06-28,44760,48.12422093,21.47247791,hu
2020-06-28,44794,48.17879979,20.65497011,hu
2020-06-28,45198,46.422,18.772,hu
2020-06-28,45618,47.52,19.144,hu
2020-06-28,45688,48.132,20.872,hu
2020-06-28,45726,47.49,19.07,hu
2020-06-28,45853,47.4731394,19.0462806,hu
2020-06-28,45889,48.126,20.858,hu
2020-06-28,45926,47.614,19.684,hu
2020-06-28,45932,46.79,17.184,hu
2020-06-28,46002,47.508,18.974,hu
2020-06-28,46016,47.578984,19.05697,hu
2020-06-28,46048,47.472,19.222,hu
2020-06-28,46186,47.82514938,19.03327882,hu
2020-06-28,46236,47.534052,19.14105356,hu
2020-06-28,46347,47.83,19.046,hu
